iter	Passed	Remaining
0	0	40
1	0	33
2	0	32
3	1	28
4	1	28
5	1	28
6	2	27
7	2	27
8	2	27
9	2	26
10	3	26
11	3	26
12	3	25
13	4	25
14	4	25
15	4	24
16	5	24
17	5	23
18	5	23
19	5	23
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	21
26	7	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	18
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	17
45	14	16
46	14	16
47	15	16
48	15	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	19	14
57	19	14
58	20	14
59	20	13
60	20	13
61	21	13
62	21	12
63	22	12
64	22	12
65	23	12
66	24	11
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	30	7
80	30	7
81	30	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	35	2
93	36	2
94	36	1
95	36	1
96	37	1
97	38	0
98	38	0
99	38	0
